source,target,interaction,directed,symbol,value,similarity
abastecimento de água,área urbana,coocurence,false,0,1,0.75
abastecimento de água,domicílios,coocurence,false,0,1,0.753778361444
abastecimento de água,IBGE,coocurence,false,0,1,0.211288563682
abastecimento de água,residências,coocurence,false,0,1,0.753778361444
acidente aeronáutico,aviação civil,coocurence,false,0,1,0.888888888889
acidente aeronáutico,avião,coocurence,false,0,1,0.888888888889
acidente aeronáutico,Cenipa,coocurence,false,0,1,0.888888888889
acidente aeronáutico,Comando da Aeronáutica,coocurence,false,0,1,0.888888888889
acidente aeronáutico,helicóptero,coocurence,false,0,1,0.888888888889
acidente aeronáutico,investigação,coocurence,false,0,1,0.888888888889
acidente aeronáutico,prevenção,coocurence,false,0,1,0.888888888889
acidente aeronáutico,Sipaer,coocurence,false,0,1,0.888888888889
acidente aeronáutico,transporte aéreo,coocurence,false,0,1,0.471404520791
acidente de trabalho,aeat,coocurence,false,0,1,0.75
acidente de trabalho,dataprev,coocurence,false,0,1,0.75
acidente de trabalho,previdência social,coocurence,false,0,1,0.75
acidente de trabalho,trabalho,coocurence,false,0,1,0.243332131696
Acidente de trabalho,AEPS,coocurence,false,0,10,0.630362216148
Acidente de trabalho,Benefícios,coocurence,false,0,1,0.895180840232
Acidente de trabalho,Benefícios Previdenciários,coocurence,false,0,3,0.824803298546
Acidente de trabalho,CBO,coocurence,false,0,1,0.782061887006
Acidente de trabalho,CID,coocurence,false,0,1,0.804276485506
Acidente de trabalho,CNAE,coocurence,false,0,2,0.760251044969
Acidente de trabalho,CNAE 2.0,coocurence,false,0,1,0.760251044969
Acidente de trabalho,CNAE 95,coocurence,false,0,1,0.788949794604
Acidente de trabalho,Previdência Social,coocurence,false,0,10,0.630265188085
acidentes de trabalho,IBGE,coocurence,false,0,1,0.566946709514
acidentes de trabalho,Ministério da Saúde,coocurence,false,0,1,0.759554525313
acidentes de trabalho,morbidade,coocurence,false,0,1,0.783929495902
acidentes de trabalho,MS,coocurence,false,0,1,0.759554525313
acidentes de trabalho,Previdência Social,coocurence,false,0,1,0.0140359517626
acidentes de trânsito,autuações,coocurence,false,0,1,0.801783725737
acidentes de trânsito,boletins de ocorrência,coocurence,false,0,1,0.824786098842
acidentes de trânsito,BR-Brasil,coocurence,false,0,1,0.824786098842
acidentes de trânsito,Departamento de Polícia Rodoviária Federal,coocurence,false,0,2,0.809523809524
acidentes de trânsito,DPRF,coocurence,false,0,2,0.809523809524
acidentes de trânsito,Ministério da Justiça,coocurence,false,0,2,0.542837290885
acidentes de trânsito,MJ,coocurence,false,0,2,0.448435002084
acidentes de trânsito,multas,coocurence,false,0,1,0.801783725737
acidentes de trânsito,SIGER,coocurence,false,0,1,0.824786098842
Ações do Governo Federal,MP,coocurence,false,0,3,0.407410857191
Ações do Governo Federal,Plano Plurianual,coocurence,false,0,3,0.75
Ações do Governo Federal,PPA,coocurence,false,0,3,0.75
Ações do Governo Federal,Programas do Governo Federal,coocurence,false,0,3,0.75
acolhimento de pessoas,combate às drogas,coocurence,false,0,1,0.857142857143
